word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
bring up for trial,,,[法] 使经过审讯,,,,,0,0,,,
bring up sb.before the court,,,[法] 传某人出庭,,,,,0,0,,,
bring up short,,,"使中断,使突然停止",,,,,0,0,,,
bring up the rear,,,殿后,,,,,0,0,,,
bring up to date,,,[化] 使现代化,,,,,0,0,,,
bring word to,,,"给…传话,通知,报告…",,,,,0,0,,,
bring-and-buy sale,brɪŋ ənd baɪ sel,, 买卖交易会,,,,,0,0,,,
bring-up section,,,"[机] 浓缩, 使下降, 收缩",,,,,0,0,,,
bring...into correspondence with,,,"使...与...一致起来, 使...与...相互通信",,,,,0,0,,,
bringdown,'briŋdaun,,a. 使感失望的\nn. 使人失望的事物,,,,,0,0,,,
bringer, 'brɪŋə,n. One who brings.,n. 带来...的人；提供者,,,,,37283,33340,s:bringers,,
bringers,,plural of bringer\nn. One who brings.,(bringer 的复数) n. 带来...的人；提供者,,,,,0,0,0:bringer/1:s,,
bringing,briŋɪŋ,n the act of delivering or distributing something (as goods or mail)\nv take something or somebody with oneself somewhere\nv cause to come into a particular state or condition\nv cause to happen or to occur as a consequence\nv go or come after and bring or take back\nv bring into a different state\nv be accompanied by\nv advance or set forth in court\nv bestow a quality on\nv be sold for a certain price\nv attract the attention of\nv induce or persuade,v. 带来( bring的现在分词 ); 促使; 提供; 使朝（某方向或按某方式）移动,,,,,34817,35580,0:bring/1:i/i:bringing,,
bringing close together,,,[网络] 紧密结合在一起,,,,,0,0,,,
bringing of successive actions,,,[法] 连续起诉,,,,,0,0,,,
bringing up,,,抚养\n养育\n培养,,,,,0,0,,,
bringing-up,'briŋiŋ'ʌp,,n. 教养,,,,,0,0,,,
bringle,,, [人名] 布林格尔,,,,,0,0,,,
brings,,v take something or somebody with oneself somewhere\nv cause to come into a particular state or condition\nv cause to happen or to occur as a consequence\nv go or come after and bring or take back\nv bring into a different state\nv be accompanied by\nv advance or set forth in court\nv bestow a quality on\nv be sold for a certain price\nv attract the attention of\nv induce or persuade,v. 带来；使发生（bring的三单形式）,,,,,0,0,0:bring/1:3,,
brininess,,n. The state or quality of being briny; saltness;\n   brinishness.,n. briny的变形,,,,,0,0,,,
brining,,v soak in brine,[化] 浸盐液,,,,,0,0,0:brine/1:i,,
brinish,,a. Like brine; somewhat salt; saltish.,[机] 盐浸作用,,,,,0,0,,,
