word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
deontologist,,n. One versed in deontology.,n. 道义论（伦理学的一科）学家；义务论（形容词deontological）学家 (deontology的变形),,,,,0,0,,,
deontology,.di:ɒn'tɒlәdʒi,n. The science relat/ to duty or moral obligation.,"n. 义务论, 道义论\n[医] 职责学, 义务学(伦理学的一门)",,,,,0,0,,,
deop,,,"diesel engine oil advisory panel,柴油发动机顾问小组",,,,,0,0,,,
deoperculate,di:әu'pә:kjuleit,a. Having the lid removed; -- said of the capsules of\n   mosses.,"失去蒴盖的, 囊盖脱落的",,,,,0,0,,,
deoppilant,di:'ɔpilәnt,,"疏通的, 疏通药",,,,,0,0,,,
deoppilation,,n. Removal of whatever stops up the passages.,"[医] 疏通, 去阻塞",,,,,0,0,,,
deoppilative,,a. & n. Deobstruent; aperient.,"[医] 疏通的, 疏通药",,,,,0,0,,,
deorbit,di:'ɔ:bit,,l v.(使)(航空器等)脱离轨道 ll n.( 航空器等的)脱离轨道,,,,,0,0,,,
deordination,"di:,ɔ:di'neiʃәn",n. Disorder; dissoluteness.,背离自然的或正常的秩序,,,,,0,0,,,
deorientalization,",di:'ɔ:ri,entәlai'zeiʃәn; -li'z-",,"n. (文化、科技等领域内的)非东方化,西方化",,,,,0,0,,,
deorsum,di'ɔ:sʌm,,(=deorse)向下的,,,,,0,0,,,
deorsum vergens strabismus,,,[医] 下斜视,,,,,0,0,,,
deorsumduction,,,[医] 下转(眼),,,,,0,0,,,
deorsumvergence,"di:,ɔ:sʌm'vә:dʒәns",,下转(眼),,,,,0,0,,,
deorsumversion,,,[医] 下转(眼),,,,,0,0,,,
deoscillator,di'ɔsileitә,,"阻尼器, 减振器",,,,,0,0,,,
deossification,"di:,ɔsifi'keiʃәn",n the loss of the mineral content of bone tissue,"除骨质, 骨质丧失",,,,,0,0,,,
Deovolente,'deiәjvɔ'lenti,,"<拉>如蒙上帝恩允, 若一切顺利",,,,,0,0,,,
deoxidant,di:'ɔksidәnt,,"n. 除氧剂, 还原剂",,,,,0,0,,,
deoxidate,di:'ɔksideit,v. t. To deoxidize.,"vt. 除去...的氧气, 使(氧化物)还原, 使脱氧",,,,,0,0,,,
